Tile_1: 
λ(nm)	T
349.181	0.973693
339.204	0.973692
329.229	0.973692
319.255	0.97369
309.278	0.973689
299.304	0.973688
289.322	0.973686
279.346	0.973684
269.371	0.973681
259.396	0.973678
249.418	0.973674
239.44	0.97367
229.465	0.973664
219.486	0.973657
209.51	0.973648
199.534	0.973637

Tile_8: 
λ(nm)	T
897.89	0.954
887.901	0.954
877.945	0.954
867.966	0.954
857.974	0.954
848.034	0.954
838.039	0.954
828.054	0.954
818.088	0.954
808.095	0.954
798.137	0.954
788.171	0.954
778.205	0.954
768.202	0.954
758.22	0.954
748.269	0.954
738.266	0.954
728.313	0.954
718.333	0.954
708.338	0.954
698.381	0.954
688.394	0.954
678.427	0.954
668.457	0.954
658.459	0.954
648.484	0.954
638.51	0.953999
628.518	0.953999
618.556	0.953999
608.576	0.953999
598.593	0.953999
588.625	0.953999
578.658	0.953999
568.683	0.953999
558.692	0.953999
548.73	0.953999
538.742	0.953999
528.771	0.953999
518.792	0.953999
508.807	0.953999
498.836	0.953999
488.861	0.953999
478.888	0.953998
468.905	0.953998
458.921	0.953998
448.945	0.953998
438.973	0.953998
429.002	0.953997
419.019	0.953997
409.044	0.953997
399.069	0.953997
389.09	0.953996
379.11	0.953996
369.133	0.953995
359.166	0.953995
349.181	0.953994
339.204	0.953994
329.229	0.953993
319.255	0.953992
309.278	0.953991
299.304	0.953989
289.322	0.953988
279.346	0.953986
269.371	0.953984
259.396	0.953981
249.418	0.953978
239.44	0.953974
229.465	0.953969
219.486	0.953963
209.51	0.953956
199.534	0.953946

Tile_9: 
λ(nm)	T
897.89	0.9866
887.901	0.9866
877.945	0.9866
867.966	0.9866
857.974	0.9866
848.034	0.9866
838.039	0.9866
828.054	0.9866
818.088	0.9866
808.095	0.9866
798.137	0.9866
788.171	0.9866
778.205	0.9866
768.202	0.9866
758.22	0.9866
748.269	0.9866
738.266	0.9866
728.313	0.9866
718.333	0.9866
708.338	0.9866
698.381	0.9866
688.394	0.9866
678.427	0.9866
668.457	0.9866
658.459	0.9866
648.484	0.986599
638.51	0.986599
628.518	0.986599
618.556	0.986599
608.576	0.986599
598.593	0.986599
588.625	0.986599
578.658	0.986599
568.683	0.986599
558.692	0.986599
548.73	0.986599
538.742	0.986599
528.771	0.986599
518.792	0.986599
508.807	0.986599
498.836	0.986598
488.861	0.986598
478.888	0.986598
468.905	0.986598
458.921	0.986598
448.945	0.986598
438.973	0.986597
429.002	0.986597
419.019	0.986597
409.044	0.986597
399.069	0.986596
389.09	0.986596
379.11	0.986596
369.133	0.986595
359.166	0.986594
349.181	0.986594
339.204	0.986593
329.229	0.986592
319.255	0.986591
309.278	0.98659
299.304	0.986588
289.322	0.986587
279.346	0.986585
269.371	0.986582
259.396	0.98658
249.418	0.986576
239.44	0.986572
229.465	0.986567
219.486	0.98656
209.51	0.986552
199.534	0.986542

Tile_10: 
λ(nm)	T
897.89	0.9832
887.901	0.9832
877.945	0.9832
867.966	0.9832
857.974	0.9832
848.034	0.9832
838.039	0.9832
828.054	0.9832
818.088	0.9832
808.095	0.9832
798.137	0.9832
788.171	0.9832
778.205	0.9832
768.202	0.9832
758.22	0.9832
748.269	0.9832
738.266	0.9832
728.313	0.9832
718.333	0.9832
708.338	0.9832
698.381	0.9832
688.394	0.9832
678.427	0.9832
668.457	0.983199
658.459	0.983199
648.484	0.983199
638.51	0.983199
628.518	0.983199
618.556	0.983199
608.576	0.983199
598.593	0.983199
588.625	0.983199
578.658	0.983199
568.683	0.983199
558.692	0.983199
548.73	0.983199
538.742	0.983199
528.771	0.983199
518.792	0.983199
508.807	0.983198
498.836	0.983198
488.861	0.983198
478.888	0.983198
468.905	0.983198
458.921	0.983198
448.945	0.983197
438.973	0.983197
429.002	0.983197
419.019	0.983197
409.044	0.983196
399.069	0.983196
389.09	0.983195
379.11	0.983195
369.133	0.983194
359.166	0.983194
349.181	0.983193
339.204	0.983192
329.229	0.983191
319.255	0.98319
309.278	0.983189
299.304	0.983187
289.322	0.983185
279.346	0.983183
269.371	0.98318
259.396	0.983177
249.418	0.983173
239.44	0.983168
229.465	0.983162
219.486	0.983155
209.51	0.983146
199.534	0.983134

Tile_11: 
λ(nm)	T
897.89	0.9501
887.901	0.9501
877.945	0.9501
867.966	0.9501
857.974	0.9501
848.034	0.9501
838.039	0.9501
828.054	0.9501
818.088	0.9501
808.095	0.9501
798.137	0.9501
788.171	0.9501
778.205	0.9501
768.202	0.9501
758.22	0.9501
748.269	0.9501
738.266	0.9501
728.313	0.9501
718.333	0.9501
708.338	0.9501
698.381	0.9501
688.394	0.9501
678.427	0.9501
668.457	0.9501
658.459	0.9501
648.484	0.9501
638.51	0.9501
628.518	0.950099
618.556	0.950099
608.576	0.950099
598.593	0.950099
588.625	0.950099
578.658	0.950099
568.683	0.950099
558.692	0.950099
548.73	0.950099
538.742	0.950099
528.771	0.950099
518.792	0.950099
508.807	0.950099
498.836	0.950099
488.861	0.950099
478.888	0.950098
468.905	0.950098
458.921	0.950098
448.945	0.950098
438.973	0.950098
429.002	0.950098
419.019	0.950097
409.044	0.950097
399.069	0.950097
